symbol	name	locus_group
ADCY6-DT	ADCY6 divergent transcript	non-coding RNA
ADCY7	adenylate cyclase 7	protein-coding gene
ADCY8	adenylate cyclase 8	protein-coding gene
ADCY9	adenylate cyclase 9	protein-coding gene
ADCY10	adenylate cyclase 10	protein-coding gene
ADCY10P1	ADCY10 pseudogene 1	pseudogene
ADCYAP1	adenylate cyclase activating polypeptide 1	protein-coding gene
ADCYAP1R1	ADCYAP receptor type I	protein-coding gene
ADD1	adducin 1	protein-coding gene
ADD2	adducin 2	protein-coding gene
ADD3	adducin 3	protein-coding gene
ADD3-AS1	ADD3 antisense RNA 1	non-coding RNA
ADFN	albinism-deafness syndrome	phenotype
ADGB	androglobin	protein-coding gene
ADGRA1	adhesion G protein-coupled receptor A1	protein-coding gene
ADGRA1-AS1	ADGRA1 antisense RNA 1	non-coding RNA
ADGRA2	adhesion G protein-coupled receptor A2	protein-coding gene
ADGRA3	adhesion G protein-coupled receptor A3	protein-coding gene
ADGRB1	adhesion G protein-coupled receptor B1	protein-coding gene
ADGRB2	adhesion G protein-coupled receptor B2	protein-coding gene
ADGRB3	adhesion G protein-coupled receptor B3	protein-coding gene
ADGRD1	adhesion G protein-coupled receptor D1	protein-coding gene
ADGRD1-AS1	ADGRD1 antisense RNA 1	non-coding RNA
ADGRD2	adhesion G protein-coupled receptor D2	protein-coding gene
ADGRE1	adhesion G protein-coupled receptor E1	protein-coding gene
ADGRE2	adhesion G protein-coupled receptor E2	protein-coding gene
ADGRE3	adhesion G protein-coupled receptor E3	protein-coding gene
ADGRE4P	adhesion G protein-coupled receptor E4, pseudogene	pseudogene
ADGRE5	adhesion G protein-coupled receptor E5	protein-coding gene
ADGRF1	adhesion G protein-coupled receptor F1	protein-coding gene
ADGRF2	adhesion G protein-coupled receptor F2	protein-coding gene
ADGRF3	adhesion G protein-coupled receptor F3	protein-coding gene
ADGRF4	adhesion G protein-coupled receptor F4	protein-coding gene
ADGRF5	adhesion G protein-coupled receptor F5	protein-coding gene
ADGRF5-AS1	ADGRF5 antisense RNA 1	non-coding RNA
ADGRF5P1	adhesion G protein-coupled receptor F5 pseudogene 1	pseudogene
ADGRF5P2	adhesion G protein-coupled receptor F5 pseudogene 2	pseudogene
ADGRG1	adhesion G protein-coupled receptor G1	protein-coding gene
ADGRG2	adhesion G protein-coupled receptor G2	protein-coding gene
ADGRG3	adhesion G protein-coupled receptor G3	protein-coding gene
ADGRG4	adhesion G protein-coupled receptor G4	protein-coding gene
ADGRG5	adhesion G protein-coupled receptor G5	protein-coding gene
ADGRG6	adhesion G protein-coupled receptor G6	protein-coding gene
ADGRG7	adhesion G protein-coupled receptor G7	protein-coding gene
ADGRL1	adhesion G protein-coupled receptor L1	protein-coding gene
ADGRL2	adhesion G protein-coupled receptor L2	protein-coding gene
ADGRL3	adhesion G protein-coupled receptor L3	protein-coding gene
ADGRL3-AS1	ADGRL3 antisense RNA 1	non-coding RNA
ADGRL4	adhesion G protein-coupled receptor L4	protein-coding gene
ADGRV1	adhesion G protein-coupled receptor V1	protein-coding gene
ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	protein-coding gene
ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	protein-coding gene
ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	protein-coding gene
ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide	protein-coding gene
ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	protein-coding gene
ADH5P1	alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 1	pseudogene
ADH5P2	ADH5 pseudogene 2	pseudogene
ADH5P3	ADH5 pseudogene 3	pseudogene
ADH5P4	ADH5 pseudogene 4	pseudogene
ADH5P5	ADH5 pseudogene 5	pseudogene
ADH6	alcohol dehydrogenase 6 (class V)	protein-coding gene
ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	protein-coding gene
ADHFE1	alcohol dehydrogenase iron containing 1	protein-coding gene
ADI1	acireductone dioxygenase 1	protein-coding gene
ADI1P1	acireductone dioxygenase 1 pseudogene 1	pseudogene
ADI1P2	acireductone dioxygenase 1 pseudogene 2	pseudogene
ADI1P3	acireductone dioxygenase 1 pseudogene 3	pseudogene
ADIG	adipogenin	protein-coding gene
ADIPOQ	adiponectin, C1Q and collagen domain containing	protein-coding gene
ADIPOQ-AS1	ADIPOQ antisense RNA 1	non-coding RNA
ADIPOR1	adiponectin receptor 1	protein-coding gene
ADIPOR1P1	adiponectin receptor 1 pseudogene 1	pseudogene
ADIPOR1P2	adiponectin receptor 1 pseudogene 2	pseudogene
ADIPOR2	adiponectin receptor 2	protein-coding gene
ADIRF	adipogenesis regulatory factor	protein-coding gene
ADIRF-AS1	ADIRF antisense RNA 1	non-coding RNA
ADK	adenosine kinase	protein-coding gene
ADM	adrenomedullin	protein-coding gene
ADM2	adrenomedullin 2	protein-coding gene
ADM5	adrenomedullin 5 (putative)	protein-coding gene
ADNP	activity dependent neuroprotector homeobox	protein-coding gene
ADNP-AS1	ADNP antisense RNA 1	non-coding RNA
ADNP2	ADNP homeobox 2	protein-coding gene
ADO	2-aminoethanethiol dioxygenase	protein-coding gene
ADORA1	adenosine A1 receptor	protein-coding gene
ADORA2A	adenosine A2a receptor	protein-coding gene
ADORA2A-AS1	ADORA2A antisense RNA 1	non-coding RNA
ADORA2B	adenosine A2b receptor	protein-coding gene
ADORA2BP1	adenosine A2b receptor pseudogene 1	pseudogene
ADORA2L1	adenosine A2 receptor-like 1	other
ADORA2L2	adenosine A2 receptor-like 2	other
ADORA3	adenosine A3 receptor	protein-coding gene
ADPGK	ADP dependent glucokinase	protein-coding gene
ADPGK-AS1	ADPGK antisense RNA 1	non-coding RNA
ADPRH	ADP-ribosylarginine hydrolase	protein-coding gene
ADPRHL1	ADP-ribosylhydrolase like 1	protein-coding gene
ADPRM	ADP-ribose/CDP-alcohol diphosphatase, manganese dependent	protein-coding gene
ADPRS	ADP-ribosylserine hydrolase	protein-coding gene
ADRA1A	adrenoceptor alpha 1A	protein-coding gene
ADRA1B	adrenoceptor alpha 1B	protein-coding gene
ADRA1D	adrenoceptor alpha 1D	protein-coding gene
ADRA2A	adrenoceptor alpha 2A	protein-coding gene
ADRA2B	adrenoceptor alpha 2B	protein-coding gene
ADRA2C	adrenoceptor alpha 2C	protein-coding gene
ADRB1	adrenoceptor beta 1	protein-coding gene
ADRB2	adrenoceptor beta 2	protein-coding gene
ADRB3	adrenoceptor beta 3	protein-coding gene
ADRM1	adhesion regulating molecule 1	protein-coding gene
ADSL	adenylosuccinate lyase	protein-coding gene
ADSS1	adenylosuccinate synthase 1	protein-coding gene
ADSS2	adenylosuccinate synthase 2	protein-coding gene
ADT	ADT unknown	other
ADTRP	androgen dependent TFPI regulating protein	protein-coding gene
AEBP1	AE binding protein 1	protein-coding gene
AEBP2	AE binding protein 2	protein-coding gene
AEN	apoptosis enhancing nuclease	protein-coding gene
AF8T	AF8 temperature sensitivity complementing	phenotype
AFA	ankyloblepharon filiforme adnatum	phenotype
AFAP1	actin filament associated protein 1	protein-coding gene
AFAP1-AS1	AFAP1 antisense RNA 1	non-coding RNA
AFAP1L1	actin filament associated protein 1 like 1	protein-coding gene
AFAP1L2	actin filament associated protein 1 like 2	protein-coding gene
AFD1	acrofacial dysostosis 1, Nager type	phenotype
AFDN	afadin, adherens junction formation factor	protein-coding gene
AFDN-DT	AFDN divergent transcript	non-coding RNA
AFF1	AF4/FMR2 family member 1	protein-coding gene
AFF1-AS1	AFF1 antisense RNA 1	non-coding RNA
AFF2	AF4/FMR2 family member 2	protein-coding gene
AFF2-IT1	AFF2 intronic transcript 1	non-coding RNA
AFF3	AF4/FMR2 family member 3	protein-coding gene
AFF4	AF4/FMR2 family member 4	protein-coding gene
AFG1L	AFG1 like ATPase	protein-coding gene
AFG3L1P	AFG3 like matrix AAA peptidase subunit 1, pseudogene	pseudogene
AFG3L2	AFG3 like matrix AAA peptidase subunit 2	protein-coding gene
AFG3L2P1	AFG3 like AAA ATPase 2 pseudogene 1	pseudogene
AFM	afamin	protein-coding gene
AFMID	arylformamidase	protein-coding gene
AFP	alpha fetoprotein	protein-coding gene
AFTPH	aftiphilin	protein-coding gene
AGA	aspartylglucosaminidase	protein-coding gene
AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	protein-coding gene
AGAP1-IT1	AGAP1 intronic transcript 1	non-coding RNA
AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	protein-coding gene
AGAP2-AS1	AGAP2 antisense RNA 1	non-coding RNA
AGAP3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	protein-coding gene
AGAP4	ArfGAP with GTPase domain, ankyrin repeat and PH domain 4	protein-coding gene
AGAP5	ArfGAP with GTPase domain, ankyrin repeat and PH domain 5	protein-coding gene
AGAP6	ArfGAP with GTPase domain, ankyrin repeat and PH domain 6	protein-coding gene
AGAP7P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 7, pseudogene	pseudogene
AGAP9	ArfGAP with GTPase domain, ankyrin repeat and PH domain 9	protein-coding gene
AGAP10P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 10, pseudogene	pseudogene
AGAP11	ArfGAP with GTPase domain, ankyrin repeat and PH domain 11	other
AGAP12P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 12, pseudogene	pseudogene
AGAP13P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 13, pseudogene	pseudogene
AGAP14P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 14, pseudogene	pseudogene
AGBL1	ATP/GTP binding protein like 1	protein-coding gene
AGBL1-AS1	AGBL1 antisense RNA 1	non-coding RNA
AGBL2	ATP/GTP binding protein like 2	protein-coding gene
AGBL3	ATP/GTP binding protein like 3	protein-coding gene
AGBL4	ATP/GTP binding protein like 4	protein-coding gene
AGBL4-AS1	AGBL4 antisense RNA 1	non-coding RNA
AGBL4-IT1	AGBL4 intronic transcript 1	non-coding RNA
AGBL5	ATP/GTP binding protein like 5	protein-coding gene
AGBL5-AS1	AGBL5 antisense RNA 1	non-coding RNA
AGBL5-IT1	AGBL5 intronic transcript 1	non-coding RNA
AGER	advanced glycosylation end-product specific receptor	protein-coding gene
AGFG1	ArfGAP with FG repeats 1	protein-coding gene
AGFG2	ArfGAP with FG repeats 2	protein-coding gene
AGGF1	angiogenic factor with G-patch and FHA domains 1	protein-coding gene
AGGF1P1	angiogenic factor with G-patch and FHA domains 1 pseudogene 1	pseudogene
AGGF1P2	angiogenic factor with G-patch and FHA domains 1 pseudogene 2	pseudogene
AGGF1P3	angiogenic factor with G-patch and FHA domains 1 pseudogene 3	pseudogene
AGGF1P4	angiogenic factor with G-patch and FHA domains 1 pseudogene 4	pseudogene
AGGF1P5	angiogenic factor with G-patch and FHA domains 1 pseudogene 5	pseudogene
AGGF1P6	angiogenic factor with G-patch and FHA domains 1 pseudogene 6	pseudogene
AGGF1P7	angiogenic factor with G-patch and FHA domains 1 pseudogene 7	pseudogene
AGGF1P8	angiogenic factor with G-patch and FHA domains 1 pseudogene 8	pseudogene
AGGF1P9	angiogenic factor with G-patch and FHA domains 1 pseudogene 9	pseudogene
AGGF1P10	angiogenic factor with G-patch and FHA domains 1 pseudogene 10	pseudogene
AGK	acylglycerol kinase	protein-coding gene
AGKP1	acylglycerol kinase pseudogene 1	pseudogene
AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	protein-coding gene
AGMAT	agmatinase	protein-coding gene
AGMO	alkylglycerol monooxygenase	protein-coding gene
AGMX2	agammaglobulinemia, X-linked 2 (with growth hormone deficiency)	phenotype
AGO1	argonaute RISC component 1	protein-coding gene
AGO2	argonaute RISC catalytic component 2	protein-coding gene
AGO3	argonaute RISC catalytic component 3	protein-coding gene
AGO4	argonaute RISC component 4	protein-coding gene
AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1	protein-coding gene
AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2	protein-coding gene
AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3	protein-coding gene
AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4	protein-coding gene
AGPAT4-IT1	AGPAT4 intronic transcript 1	non-coding RNA
AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5	protein-coding gene
AGPAT5P1	1-acylglycerol-3-phosphate O-acyltransferase 5 pseudogene 1	pseudogene
AGPS	alkylglycerone phosphate synthase	protein-coding gene
AGR2	anterior gradient 2, protein disulphide isomerase family member	protein-coding gene
AGR3	anterior gradient 3, protein disulphide isomerase family member	protein-coding gene
AGRN	agrin	protein-coding gene
AGRP	agouti related neuropeptide	protein-coding gene
AGT	angiotensinogen	protein-coding gene
AGTPBP1	ATP/GTP binding protein 1	protein-coding gene
AGTR1	angiotensin II receptor type 1	protein-coding gene
AGTR2	angiotensin II receptor type 2	protein-coding gene
AGTRAP	angiotensin II receptor associated protein	protein-coding gene
AGTRL2	angiotensin II receptor-like 2	other
AGXT	alanine--glyoxylate and serine--pyruvate aminotransferase	protein-coding gene
AGXT2	alanine--glyoxylate aminotransferase 2	protein-coding gene
AHCTF1	AT-hook containing transcription factor 1	protein-coding gene
AHCTF1P1	AT-hook containing transcription factor 1 pseudogene 1	pseudogene
AHCY	adenosylhomocysteinase	protein-coding gene
AHCYL1	adenosylhomocysteinase like 1	protein-coding gene
AHCYL2	adenosylhomocysteinase like 2	protein-coding gene
AHCYP1	adenosylhomocysteinase pseudogene 1	pseudogene
AHCYP2	adenosylhomocysteinase pseudogene 2	pseudogene
AHCYP3	adenosylhomocysteinase pseudogene 3	pseudogene
AHCYP4	adenosylhomocysteinase pseudogene 4	pseudogene
AHCYP5	adenosylhomocysteinase pseudogene 5	pseudogene
AHCYP6	adenosylhomocysteinase pseudogene 6	pseudogene
AHCYP7	adenosylhomocysteinase pseudogene 7	pseudogene
AHCYP8	adenosylhomocysteinase pseudogene 8	pseudogene
AHDC1	AT-hook DNA binding motif containing 1	protein-coding gene
AHI1	Abelson helper integration site 1	protein-coding gene
AHNAK	AHNAK nucleoprotein	protein-coding gene
AHNAK2	AHNAK nucleoprotein 2	protein-coding gene
AHR	aryl hydrocarbon receptor	protein-coding gene
AHRR	aryl-hydrocarbon receptor repressor	protein-coding gene
AHSA1	activator of HSP90 ATPase activity 1	protein-coding gene
AHSA2P	activator of HSP90 ATPase homolog 2, pseudogene	pseudogene
AHSG	alpha 2-HS glycoprotein	protein-coding gene
AHSP	alpha hemoglobin stabilizing protein	protein-coding gene
AIC	Aicardi syndrome	phenotype
AICDA	activation induced cytidine deaminase	protein-coding gene
AIDA	axin interactor, dorsalization associated	protein-coding gene
AIDAP1	AIDA pseudogene 1	pseudogene
AIDAP2	AIDA pseudogene 2	pseudogene
AIDAP3	AIDA pseudogene 3	pseudogene
AIF1	allograft inflammatory factor 1	protein-coding gene
AIF1L	allograft inflammatory factor 1 like	protein-coding gene
AIFM1	apoptosis inducing factor mitochondria associated 1	protein-coding gene
AIFM1P1	AIFM1 pseudogene 1	pseudogene
AIFM2	apoptosis inducing factor mitochondria associated 2	protein-coding gene
AIFM3	apoptosis inducing factor mitochondria associated 3	protein-coding gene
AIG1	androgen induced 1	protein-coding gene
AIG1P1	androgen induced 1 pseudogene 1	pseudogene
AIH3	amelogenesis imperfecta 3, hypomaturation or hypoplastic type	phenotype
AIM2	absent in melanoma 2	protein-coding gene
AIMP1	aminoacyl tRNA synthetase complex interacting multifunctional protein 1	protein-coding gene
AIMP1P1	aminoacyl tRNA synthetase complex interacting multifunctional protein 1 pseudogene 1	pseudogene
AIMP1P2	aminoacyl tRNA synthetase complex interacting multifunctional protein 1 pseudogene 2	pseudogene
AIMP2	aminoacyl tRNA synthetase complex interacting multifunctional protein 2	protein-coding gene
AIP	aryl hydrocarbon receptor interacting protein	protein-coding gene
AIPL1	aryl hydrocarbon receptor interacting protein like 1	protein-coding gene
AIRE	autoimmune regulator	protein-coding gene
AIRN	antisense of IGF2R non-protein coding RNA	non-coding RNA
AIS1	autoimmune susceptibility 1	phenotype
AIS2	autoimmune susceptibility 2	phenotype
AIS3	autoimmune susceptibility 3 (vitiligo specific)	phenotype
AJAP1	adherens junctions associated protein 1	protein-coding gene
AJM1	apical junction component 1 homolog	protein-coding gene
AJUBA	ajuba LIM protein	protein-coding gene
AK1	adenylate kinase 1	protein-coding gene
AK2	adenylate kinase 2	protein-coding gene
AK2P1	adenylate kinase 2 pseudogene 1	pseudogene
AK2P2	adenylate kinase 2 pseudogene 2	pseudogene
AK3	adenylate kinase 3	protein-coding gene
AK3P2	adenylate kinase 3 pseudogene 2	pseudogene
AK3P3	adenylate kinase 3 pseudogene 3	pseudogene
AK3P4	adenylate kinase 3 pseudogene 4	pseudogene
AK3P5	adenylate kinase 3 pseudogene 5	pseudogene
AK3P6	adenylate kinase 3 pseudogene 6	pseudogene
AK4	adenylate kinase 4	protein-coding gene
AK4P1	adenylate kinase 4 pseudogene 1	pseudogene
AK4P2	adenylate kinase 4 pseudogene 2	pseudogene
AK4P3	adenylate kinase 4 pseudogene 3	pseudogene
AK4P4	adenylate kinase 4 pseudogene 4	pseudogene
AK4P5	adenylate kinase 4 pseudogene 5	pseudogene
AK4P6	adenylate kinase 4 pseudogene 6	pseudogene
AK5	adenylate kinase 5	protein-coding gene
AK6	adenylate kinase 6	protein-coding gene
AK6P1	adenylate kinase 6 pseudogene 1	pseudogene
AK6P2	adenylate kinase 6 pseudogene 2	pseudogene
AK7	adenylate kinase 7	protein-coding gene
AK8	adenylate kinase 8	protein-coding gene
AK9	adenylate kinase 9	protein-coding gene
AKAIN1	A-kinase anchor inhibitor 1	protein-coding gene
AKAP1	A-kinase anchoring protein 1	protein-coding gene
AKAP2	A-kinase anchoring protein 2	other
AKAP3	A-kinase anchoring protein 3	protein-coding gene
AKAP4	A-kinase anchoring protein 4	protein-coding gene
AKAP5	A-kinase anchoring protein 5	protein-coding gene
AKAP6	A-kinase anchoring protein 6	protein-coding gene
AKAP7	A-kinase anchoring protein 7	protein-coding gene
AKAP8	A-kinase anchoring protein 8	protein-coding gene
AKAP8L	A-kinase anchoring protein 8 like	protein-coding gene
AKAP8P1	A-kinase anchoring protein 8 pseudogene 1	pseudogene
AKAP9	A-kinase anchoring protein 9	protein-coding gene
AKAP10	A-kinase anchoring protein 10	protein-coding gene
AKAP11	A-kinase anchoring protein 11	protein-coding gene
AKAP11-IT1	AKPA11 intronic transcript 1 (non-protein coding)	non-coding RNA
AKAP12	A-kinase anchoring protein 12	protein-coding gene
AKAP13	A-kinase anchoring protein 13	protein-coding gene
AKAP14	A-kinase anchoring protein 14	protein-coding gene
AKAP17A	A-kinase anchoring protein 17A	protein-coding gene
AKAP17BP	A-kinase anchoring protein 17B, pseudogene	pseudogene
AKIP1	A-kinase interacting protein 1	protein-coding gene
AKIRIN1	akirin 1	protein-coding gene
AKIRIN1P1	akirin 1 pseudogene 1	pseudogene
AKIRIN1P2	akirin 1 pseudogene 2	pseudogene
AKIRIN2	akirin 2	protein-coding gene
AKIRIN2-AS1	AKIRIN2 antisense RNA 1	non-coding RNA
AKIRIN2P1	akirin 2 pseudogene 1	pseudogene
AKNA	AT-hook transcription factor	protein-coding gene
AKNAD1	AKNA domain containing 1	protein-coding gene
AKR1A1	aldo-keto reductase family 1 member A1	protein-coding gene
AKR1B1	aldo-keto reductase family 1 member B	protein-coding gene
